initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,net_profit_pct,profit_factor,max_drawdown_pct
0.03,0.06,0.01,2.0,500000.0,0,27,55.55555555555556,486.5415930939897,6.736943798920797,-16.702799507100018
0.03,0.06,0.01,2.0,500000.0,5,24,62.5,513.052735085972,8.810304123197055,-11.470719000000008
0.03,0.06,0.01,2.0,500000.0,10,22,63.63636363636363,518.8908911149518,9.833299705521704,-8.732700000000007
0.03,0.06,0.01,2.0,500000.0,20,22,68.18181818181817,518.3226720284645,11.095040956258735,-5.909999999999991
0.03,0.06,0.01,2.0,500000.0,30,21,66.66666666666666,487.4648669238784,10.842505033219085,-5.909999999999994
0.03,0.06,0.01,2.0,1000000.0,0,27,55.55555555555556,486.5415930939897,6.736943798920797,-16.702799507100018
0.03,0.06,0.01,2.0,1000000.0,5,24,62.5,513.052735085972,8.810304123197055,-11.470719000000008
0.03,0.06,0.01,2.0,1000000.0,10,22,63.63636363636363,518.8908911149518,9.833299705521704,-8.732700000000007
0.03,0.06,0.01,2.0,1000000.0,20,22,68.18181818181817,518.3226720284645,11.095040956258735,-5.909999999999991
0.03,0.06,0.01,2.0,1000000.0,30,21,66.66666666666666,487.4648669238784,10.842505033219085,-5.909999999999994
0.03,0.06,0.01,2.0,5000000.0,0,27,55.55555555555556,486.5415930939897,6.736943798920797,-16.702799507100018
0.03,0.06,0.01,2.0,5000000.0,5,24,62.5,513.052735085972,8.810304123197055,-11.470719000000008
0.03,0.06,0.01,2.0,5000000.0,10,22,63.63636363636363,518.8908911149518,9.833299705521704,-8.732700000000007
0.03,0.06,0.01,2.0,5000000.0,20,22,68.18181818181817,518.3226720284645,11.095040956258735,-5.909999999999991
0.03,0.06,0.01,2.0,5000000.0,30,21,66.66666666666666,487.4648669238784,10.842505033219085,-5.909999999999994
0.03,0.06,0.01,2.5,500000.0,0,26,53.84615384615385,400.44621174618555,6.6784156849486385,-16.702799507100018
0.03,0.06,0.01,2.5,500000.0,5,23,60.86956521739131,423.06592147379007,8.710629902541006,-11.47071900000001
0.03,0.06,0.01,2.5,500000.0,10,21,61.904761904761905,428.0471250281268,9.708241333366956,-8.732699999999992
0.03,0.06,0.01,2.5,500000.0,20,21,66.66666666666666,427.56231185780314,10.93605375627531,-5.910000000000004
0.03,0.06,0.01,2.5,500000.0,30,20,60.0,401.2339630259111,10.132711083271797,-7.116796848403675
