initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,sum_return_pct,profit_factor,max_drawdown_pct
0.03,0.06,0.01,1.5,500000.0,0,6781,28.963279752248933,4898.248609465608,1.3501471481155494,-1192.955971459749
0.03,0.06,0.01,1.5,500000.0,10,4897,30.28384725342046,4553.7774912378,1.464534146868402,-743.9760614425381
0.03,0.06,0.01,1.5,500000.0,20,4142,30.6615161757605,4468.645382365515,1.5485747680021849,-576.9807707741023
0.03,0.06,0.01,1.5,500000.0,30,3696,30.735930735930733,4069.100023738263,1.5606480973580465,-534.9703755473674
0.03,0.06,0.01,1.5,1000000.0,0,6725,28.921933085501863,4510.935973126371,1.3256276226968113,-1260.7857498967771
0.03,0.06,0.01,1.5,1000000.0,10,4863,30.228254164096235,4253.339371589233,1.4370467276921597,-826.9939515403091
0.03,0.06,0.01,1.5,1000000.0,20,4113,30.53732069049356,4059.2777355708836,1.4981684815737206,-666.7056832960111
0.03,0.06,0.01,1.5,1000000.0,30,3667,30.569948186528496,3678.2528589693097,1.5067930797108642,-644.2746876674781
0.03,0.06,0.01,1.5,5000000.0,0,6403,28.7365297516789,3501.3489737626946,1.2675336452063426,-1450.2702910345547
0.03,0.06,0.01,1.5,5000000.0,10,4639,30.200474240137957,3499.6309409137816,1.3825708717923524,-1021.960532594883
0.03,0.06,0.01,1.5,5000000.0,20,3934,30.681240467717334,3421.317010738059,1.4464734902966434,-841.6903499401411
0.03,0.06,0.01,1.5,5000000.0,30,3518,30.69926094371802,3202.651667880763,1.467759248358585,-803.8478359344317
0.03,0.06,0.01,2.0,500000.0,0,6138,28.462039752362333,5593.75057054439,1.420000233182699,-1463.0977560988522
0.03,0.06,0.01,2.0,500000.0,10,4544,29.599471830985912,4940.7622119084745,1.513080808161319,-943.5675063301358
0.03,0.06,0.01,2.0,500000.0,20,3900,30.153846153846153,4641.0344155531375,1.5734401537080869,-749.5463694975525
0.03,0.06,0.01,2.0,500000.0,30,3516,30.062571103526736,4047.8216547309307,1.5538993406664365,-683.4702666268818
0.03,0.06,0.01,2.0,1000000.0,0,6091,28.41897882121162,5219.285340326208,1.3952579944677235,-1565.6738188903928
0.03,0.06,0.01,2.0,1000000.0,10,4515,29.568106312292358,4614.6543797989225,1.4826421809990595,-1076.4965245566445
0.03,0.06,0.01,2.0,1000000.0,20,3874,30.04646360351058,4249.480030175041,1.5247074116526176,-838.8073508048144
0.03,0.06,0.01,2.0,1000000.0,30,3491,29.876826124319678,3613.733440025681,1.4938126333276205,-814.2509661373227
0.03,0.06,0.01,2.0,5000000.0,0,5797,28.117992064861134,4092.2878648044107,1.3277614762648278,-1687.2879836283942
0.03,0.06,0.01,2.0,5000000.0,10,4297,29.46241563881778,3982.725791144656,1.443737624670364,-1245.9174295129203
0.03,0.06,0.01,2.0,5000000.0,20,3699,30.03514463368478,3752.659527987497,1.4927348559760998,-1028.907995767754
0.03,0.06,0.01,2.0,5000000.0,30,3343,29.82351181573437,3303.7836651187354,1.4780280467838132,-966.9541692774335
0.03,0.06,0.01,2.5,500000.0,0,5705,28.378615249780893,5917.39560501232,1.4671317671415716,-1625.4406545108327
0.03,0.06,0.01,2.5,500000.0,10,4278,29.546517064048622,5167.731573510194,1.5544554069775032,-1092.0469450621586
0.03,0.06,0.01,2.5,500000.0,20,3706,29.897463572584996,4783.532579655366,1.6029585103072634,-876.5818322702548
0.03,0.06,0.01,2.5,500000.0,30,3351,29.811996418979408,4251.015319903412,1.5929743047915268,-815.1522206301631
0.03,0.06,0.01,2.5,1000000.0,0,5658,28.331565924354894,5610.245914705348,1.4469978907527963,-1748.6001177779096
0.03,0.06,0.01,2.5,1000000.0,10,4250,29.505882352941175,4889.670676159649,1.5284762514659491,-1266.373756803278
0.03,0.06,0.01,2.5,1000000.0,20,3681,29.7745177940777,4443.058260191628,1.5597263304468332,-1054.8548649474128
0.03,0.06,0.01,2.5,1000000.0,30,3325,29.59398496240602,3881.4812012756506,1.5410332925651313,-1006.3607798053393
0.03,0.06,0.01,2.5,5000000.0,0,5388,28.006681514476618,4469.146717238467,1.3763643726229418,-1980.9091705991777
0.03,0.06,0.01,2.5,5000000.0,10,4046,29.362333168561545,4345.535258965657,1.4998015564127514,-1443.459758892708
0.03,0.06,0.01,2.5,5000000.0,20,3511,29.76360011392766,4122.512010546932,1.5519028450998034,-1258.7573785012523
0.03,0.06,0.01,2.5,5000000.0,30,3179,29.569046870084932,3772.8448717107303,1.5572522332450374,-1120.3723349161553
0.03,0.06,0.01,3.0,500000.0,0,5424,28.337020648967552,6471.79018340696,1.5315007224219,-1799.3494563364711
0.03,0.06,0.01,3.0,500000.0,10,4121,29.410337296772624,5340.231223516499,1.5872617175912787,-1314.8059808698297
0.03,0.06,0.01,3.0,500000.0,20,3583,29.919062238347756,5087.245343261431,1.655787803284876,-1149.3272108128813
0.03,0.06,0.01,3.0,500000.0,30,3261,29.438822447102115,4277.95798222757,1.603087138366971,-1052.151944771404
0.03,0.06,0.01,3.0,1000000.0,0,5390,28.274582560296846,5796.044822653808,1.4793412403335962,-1909.0066744471874
0.03,0.06,0.01,3.0,1000000.0,10,4099,29.373017809221764,4762.183397210426,1.5268319337458396,-1447.1886193717326
0.03,0.06,0.01,3.0,1000000.0,20,3560,29.74719101123596,4417.43850913534,1.5683465214647716,-1277.7423879335577
0.03,0.06,0.01,3.0,1000000.0,30,3239,29.175671503550475,3548.730662411101,1.4988136427126506,-1193.1830275682084
0.03,0.06,0.01,3.0,5000000.0,0,5134,28.009349435138294,4600.072704316085,1.402210706872262,-2105.801514429139
0.03,0.06,0.01,3.0,5000000.0,10,3903,29.310786574429926,4166.374346312374,1.4903973011493623,-1584.8471776724218
0.03,0.06,0.01,3.0,5000000.0,20,3394,29.75839717147908,3978.3888374998573,1.5436278872498328,-1442.131506157785
0.03,0.06,0.01,3.0,5000000.0,30,3098,29.309231762427373,3499.559086290319,1.5215310771366004,-1288.1103745225741
0.03,0.06,0.02,1.5,500000.0,0,6837,29.03320169665058,4884.057395320552,1.3465099751811866,-1186.3984018033636
0.03,0.06,0.02,1.5,500000.0,10,4925,30.314720812182745,4562.178991783866,1.4626587487091316,-761.9169749590984
0.03,0.06,0.02,1.5,500000.0,20,4163,30.650972856113377,4300.921772886923,1.5250755474008715,-572.2547530321799
0.03,0.06,0.02,1.5,500000.0,30,3713,30.783732830595206,4038.0748744480616,1.553521643429265,-514.3824064985143
0.03,0.06,0.02,1.5,1000000.0,0,6780,28.98230088495575,4519.467710367462,1.3237688284819116,-1262.6238791086573
0.03,0.06,0.02,1.5,1000000.0,10,4890,30.245398773006134,4286.289479610043,1.437827849609774,-847.7981956418635
0.03,0.06,0.02,1.5,1000000.0,20,4133,30.510525042342124,3915.102733567037,1.4778281004312324,-669.7770665063689
0.03,0.06,0.02,1.5,1000000.0,30,3683,30.600054303556885,3670.1342421862996,1.5030826173505607,-633.8814933740434
0.03,0.06,0.02,1.5,5000000.0,0,6450,28.806201550387595,3552.813167408386,1.2696785397675736,-1428.1259482425878
0.03,0.06,0.02,1.5,5000000.0,10,4662,30.201630201630202,3574.927106367506,1.3886180059343258,-1023.6601045429481
0.03,0.06,0.02,1.5,5000000.0,20,3951,30.675778283978737,3333.8490945377857,1.4330445351712948,-865.2406189123254
0.03,0.06,0.02,1.5,5000000.0,30,3532,30.74745186862967,3248.7423792671816,1.4724777097981139,-792.3778708423198
0.03,0.06,0.02,2.0,500000.0,0,6234,28.601219120949633,5506.320262989029,1.4077866280672542,-1405.1932696933238
0.03,0.06,0.02,2.0,500000.0,10,4599,29.72385301152424,4892.216340978502,1.5022558425040586,-905.2877812626247
0.03,0.06,0.02,2.0,500000.0,20,3940,30.253807106598984,4414.43469723284,1.539940961488838,-700.1835700858941
0.03,0.06,0.02,2.0,500000.0,30,3549,30.26204564666103,3986.1194092328524,1.5413840800645926,-621.8577569489595
0.03,0.06,0.02,2.0,1000000.0,0,6185,28.55295068714632,5162.474699980122,1.3856549128509619,-1485.7073160525827
0.03,0.06,0.02,2.0,1000000.0,10,4568,29.68476357267951,4598.600875386429,1.475596570806099,-1022.8797826413503
0.03,0.06,0.02,2.0,1000000.0,20,3912,30.13803680981595,4054.372678372224,1.4957527884250177,-793.3252605721136
0.03,0.06,0.02,2.0,1000000.0,30,3522,30.068143100511076,3582.8354903349727,1.4861383635304617,-736.3141249158508
0.03,0.06,0.02,2.0,5000000.0,0,5882,28.27269636178171,4061.658289499547,1.3212405856243983,-1614.7702340055616
0.03,0.06,0.02,2.0,5000000.0,10,4346,29.544408651633685,3997.582368453088,1.4403327225426514,-1193.0461843965422
0.03,0.06,0.02,2.0,5000000.0,20,3735,30.174029451137883,3597.0047156067417,1.4680742028489469,-1005.0352844906755
0.03,0.06,0.02,2.0,5000000.0,30,3372,30.01186239620403,3316.0139301316385,1.4765741100536216,-916.0459199113908
0.03,0.06,0.02,2.5,500000.0,0,5837,28.45639883501799,5765.1105046607045,1.4456216866068368,-1540.1778798132445
0.03,0.06,0.02,2.5,500000.0,10,4355,29.690011481056256,5069.769282823307,1.5351251675608562,-1007.0701582153289
0.03,0.06,0.02,2.5,500000.0,20,3768,29.962845010615712,4492.376058437257,1.5570477982145023,-800.3018548851426
0.03,0.06,0.02,2.5,500000.0,30,3401,29.991179064980887,4170.342639346249,1.5744128288786368,-722.3074815597788
0.03,0.06,0.02,2.5,1000000.0,0,5788,28.403593642017967,5486.456205170612,1.4280385954385946,-1642.864033008381
0.03,0.06,0.02,2.5,1000000.0,10,4325,29.641618497109828,4822.2037762896425,1.5128362710433179,-1152.9015791395689
0.03,0.06,0.02,2.5,1000000.0,20,3741,29.83159582999198,4180.397129790396,1.5182680237849093,-951.0794967454214
0.03,0.06,0.02,2.5,1000000.0,30,3373,29.76578713311592,3828.303911535368,1.5271393532659985,-887.0206499180748
0.03,0.06,0.02,2.5,5000000.0,0,5504,28.106831395348834,4414.637881974945,1.3646842374394872,-1811.6129975693048
0.03,0.06,0.02,2.5,5000000.0,10,4115,29.477521263669505,4300.869219519783,1.4868586608936927,-1320.5101239457645
0.03,0.06,0.02,2.5,5000000.0,20,3569,29.840291398150743,3878.121800099521,1.5109787549179088,-1164.6456502708322
0.03,0.06,0.02,2.5,5000000.0,30,3224,29.745657568238215,3749.054900879784,1.5472722168389184,-1010.6958450004629
0.03,0.06,0.02,3.0,500000.0,0,5575,28.52017937219731,6277.667491647598,1.5038004630299102,-1703.1982612045665
0.03,0.06,0.02,3.0,500000.0,10,4214,29.615567157095395,5244.330371655484,1.5659714652524823,-1204.41497641929
0.03,0.06,0.02,3.0,500000.0,20,3661,30.073750341436767,4834.502792913302,1.6117342745606256,-1060.5746818331522
0.03,0.06,0.02,3.0,500000.0,30,3318,29.746835443037973,4244.643164349326,1.5913094532035408,-961.0686803262722
0.03,0.06,0.02,3.0,1000000.0,0,5539,28.452789312150205,5631.276847183338,1.455131222546464,-1784.5007630263924
0.03,0.06,0.02,3.0,1000000.0,10,4190,29.570405727923628,4697.637261638302,1.5101187670213498,-1305.8038653887602
0.03,0.06,0.02,3.0,1000000.0,20,3636,29.895489548954895,4193.050675076102,1.529764853667255,-1159.6351426649383
0.03,0.06,0.02,3.0,1000000.0,30,3294,29.47783849423194,3543.7705608217443,1.4924442606157553,-1070.745046834187
0.03,0.06,0.02,3.0,5000000.0,0,5271,28.210965661164867,4475.405774625924,1.3829099531840903,-1939.4960417248947
0.03,0.06,0.02,3.0,5000000.0,10,3990,29.49874686716792,4089.378869643165,1.472382217546917,-1455.2132492833978
0.03,0.06,0.02,3.0,5000000.0,20,3468,29.901960784313726,3749.301303692595,1.502917856383238,-1352.559284095738
0.03,0.06,0.02,3.0,5000000.0,30,3152,29.631979695431472,3492.2544787403676,1.5145886755634528,-1187.5522591545248
0.03,0.08,0.01,1.5,500000.0,0,6721,27.540544561821157,4963.496168088269,1.3538628820485654,-1148.728940214051
0.03,0.08,0.01,1.5,500000.0,10,4862,29.185520361990953,4592.031466558797,1.467250948375157,-659.5533720057416
0.03,0.08,0.01,1.5,500000.0,20,4109,29.934290581650036,4545.293702807176,1.5561734872331727,-495.42023996845495
0.03,0.08,0.01,1.5,500000.0,30,3674,29.88568317909635,4048.1463477008188,1.5536394107966767,-472.97572098218717
0.03,0.08,0.01,1.5,1000000.0,0,6665,27.486871717929485,4576.886328621095,1.32949653342508,-1220.8651395209824
