initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,net_profit_pct,profit_factor,max_drawdown_pct
0.03,0.06,0.01,2.0,500000.0,0,555,32.79279279279279,143182.6248693661,1.966675999877901,-80.63526557966382
0.03,0.06,0.01,2.0,500000.0,5,435,29.195402298850574,6717.1648257617635,1.7321524287832761,-87.66217992224271
0.03,0.06,0.01,2.0,500000.0,10,343,34.40233236151604,33435.93153955835,2.247633284795299,-66.08748454647083
0.03,0.06,0.01,2.0,500000.0,20,251,29.482071713147413,717.612400579317,1.6301324495420857,-66.23855254503276
0.03,0.06,0.01,2.0,500000.0,30,195,35.8974358974359,14040.39097441447,2.739056286460501,-31.198745383640592
0.03,0.06,0.01,2.0,1000000.0,0,555,32.79279279279279,143182.6248693661,1.966675999877901,-80.63526557966382
0.03,0.06,0.01,2.0,1000000.0,5,435,29.195402298850574,6717.1648257617635,1.7321524287832761,-87.66217992224271
0.03,0.06,0.01,2.0,1000000.0,10,343,34.40233236151604,33435.93153955835,2.247633284795299,-66.08748454647083
0.03,0.06,0.01,2.0,1000000.0,20,251,29.482071713147413,717.612400579317,1.6301324495420857,-66.23855254503276
0.03,0.06,0.01,2.0,1000000.0,30,195,35.8974358974359,14040.39097441447,2.739056286460501,-31.198745383640592
0.03,0.06,0.01,2.0,5000000.0,0,555,32.79279279279279,143182.6248693661,1.966675999877901,-80.63526557966382
0.03,0.06,0.01,2.0,5000000.0,5,435,29.195402298850574,6717.1648257617635,1.7321524287832761,-87.66217992224271
0.03,0.06,0.01,2.0,5000000.0,10,343,34.40233236151604,33435.93153955835,2.247633284795299,-66.08748454647083
0.03,0.06,0.01,2.0,5000000.0,20,251,29.482071713147413,717.612400579317,1.6301324495420857,-66.23855254503276
0.03,0.06,0.01,2.0,5000000.0,30,195,35.8974358974359,14040.39097441447,2.739056286460501,-31.198745383640592
0.03,0.06,0.01,2.5,500000.0,0,503,31.610337972166995,36116.62498782226,1.9256020247416443,-80.7508892708099
0.03,0.06,0.01,2.5,500000.0,5,396,27.77777777777778,3992.410969320334,1.762380372511975,-88.51565473402904
0.03,0.06,0.01,2.5,500000.0,10,314,31.84713375796178,16809.022850787806,2.214510450602177,-67.95413715550922
0.03,0.06,0.01,2.5,500000.0,20,238,30.252100840336134,982.6741294788853,1.7541491362246249,-59.11741016263077
0.03,0.06,0.01,2.5,500000.0,30,183,34.97267759562842,8764.660621765941,2.7499100003497867,-36.239553742280954
0.03,0.06,0.01,2.5,1000000.0,0,503,31.610337972166995,36116.62498782226,1.9256020247416443,-80.7508892708099
0.03,0.06,0.01,2.5,1000000.0,5,396,27.77777777777778,3992.410969320334,1.762380372511975,-88.51565473402904
0.03,0.06,0.01,2.5,1000000.0,10,314,31.84713375796178,16809.022850787806,2.214510450602177,-67.95413715550922
0.03,0.06,0.01,2.5,1000000.0,20,238,30.252100840336134,982.6741294788853,1.7541491362246249,-59.11741016263077
0.03,0.06,0.01,2.5,1000000.0,30,183,34.97267759562842,8764.660621765941,2.7499100003497867,-36.239553742280954
0.03,0.06,0.01,2.5,5000000.0,0,503,31.610337972166995,36116.62498782226,1.9256020247416443,-80.7508892708099
0.03,0.06,0.01,2.5,5000000.0,5,396,27.77777777777778,3992.410969320334,1.762380372511975,-88.51565473402904
0.03,0.06,0.01,2.5,5000000.0,10,314,31.84713375796178,16809.022850787806,2.214510450602177,-67.95413715550922
